-10;0,384909
-9,9;0,311173
-9,8;0,237437
-9,7;0,163701
-9,6;0,0899645
-9,5;0,0162284
-9,4;-0,0575077
-9,3;-0,131244
-9,2;-0,20498
-9,1;-0,278716
-9;-0,352452
-8,9;-0,426188
-8,8;-0,499924
-8,7;-0,57366
-8,6;-0,647396
-8,5;-0,721132
-8,4;-0,794868
-8,3;-0,868605
-8,2;-0,942341
-8,1;-1,01608
-8;-1,033
-7,9;-1,01597
-7,8;-0,998948
-7,7;-0,981921
-7,6;-0,964894
-7,5;-0,932341
-7,4;-0,85528
-7,3;-0,778219
-7,2;-0,701157
-7,1;-0,624096
-7;-0,547035
-6,9;-0,469974
-6,8;-0,392913
-6,7;-0,315851
-6,6;-0,23879
-6,5;-0,161729
-6,4;-0,0846678
-6,3;-0,0076066
-6,2;0,0694546
-6,1;0,146516
-6;0,223577
-5,9;0,300638
-5,8;0,377699
-5,7;0,454761
-5,6;0,531822
-5,5;0,608883
-5,4;0,685944
-5,3;0,763005
-5,2;0,840067
-5,1;0,917128
-5;0,994189
-4,9;1,07125
-4,8;1,07941
-4,7;1,04482
-4,6;1,01022
-4,5;0,975625
-4,4;0,941028
-4,3;0,906432
-4,2;0,871836
-4,1;0,83724
-4;0,777637
-3,9;0,685321
-3,8;0,593005
-3,7;0,500688
-3,6;0,408372
-3,5;0,316055
-3,4;0,223739
-3,3;0,131422
-3,2;0,0391061
-3,1;-0,0532103
-3;-0,145527
-2,9;-0,237843
-2,8;-0,33016
-2,7;-0,422476
-2,6;-0,514792
-2,5;-0,59491
-2,4;-0,660036
-2,3;-0,725163
-2,2;-0,790289
-2,1;-0,855416
-2;-0,920542
-1,9;-0,985669
-1,8;-0,997479
-1,7;-0,99425
-1,6;-0,991021
-1,5;-0,987791
-1,4;-0,984562
-1,3;-0,981333
-1,2;-0,966897
-1,1;-0,903441
-1;-0,839986
-0,9;-0,77653
-0,8;-0,713075
-0,7;-0,624487
-0,6;-0,534442
-0,5;-0,444398
-0,4;-0,354354
-0,3;-0,26431
-0,2;-0,174266
-0,1;-0,0842222
-1,88E-14;0,00582183
0,1;0,0958659
0,2;0,18591
0,3;0,275954
0,4;0,365998
0,5;0,456042
0,6;0,546086
0,7;0,63613
0,8;0,726174
0,9;0,813895
1;0,852353
1,1;0,890811
1,2;0,929268
1,3;0,961427
1,4;0,985536
1,5;1,00964
1,6;1,01965
1,7;0,994828
1,8;0,970006
1,9;0,943334
2;0,909041
2,1;0,860524
2,2;0,792567
2,3;0,707777
2,4;0,622987
2,5;0,538197
2,6;0,453408
2,7;0,368618
2,8;0,283828
2,9;0,199038
3;0,114248
3,1;0,0294586
3,2;-0,0553312
3,3;-0,140121
3,4;-0,224828
3,5;-0,306066
3,6;-0,387304
3,7;-0,468541
3,8;-0,549779
3,9;-0,631017
4;-0,712254
4,1;-0,793492
4,2;-0,87473
4,3;-0,953617
4,4;-0,974595
4,5;-0,983652
4,6;-0,992709
4,7;-1,00177
4,8;-0,995874
4,9;-0,971468
5;-0,900554
5,1;-0,82964
5,2;-0,758726
5,3;-0,687812
5,4;-0,616898
5,5;-0,545984
5,6;-0,47507
5,7;-0,404156
5,8;-0,333242
5,9;-0,262328
6;-0,191414
6,1;-0,120501
6,2;-0,0495865
6,3;0,0213275
6,4;0,0922414
6,5;0,163155
6,6;0,234069
6,7;0,304983
6,8;0,375897
6,9;0,446811
7;0,517725
7,1;0,588639
7,2;0,659553
7,3;0,730467
7,4;0,801381
7,5;0,872295
7,6;0,943209
7,7;1,00519
7,8;0,971174
7,9;0,937162
8;0,903151
8,1;0,869139
8,2;0,835128
8,3;0,801116
8,4;0,767105
8,5;0,733093
8,6;0,699082
8,7;0,66507
8,8;0,586408
8,9;0,488953
9;0,391499
9,1;0,294045
9,2;0,196591
9,3;0,0991363
9,4;0,00168205
9,5;-0,0957722
9,6;-0,193201
9,7;-0,289314
9,8;-0,385428
9,9;-0,481541
10;-0,577654
